nome_praca,regional,faturamento_rateado
"Vale do Itajai","Regional Leste",12056870.24
"Grande Florianopolis","Regional Leste",4884885.19
"Norte Industrial","Regional Norte",3344104.40
"Litoral Sul","Regional Sul",2777683.70
"Litoral Norte","Regional Norte",2669554.90
"Serra Catarinense","Regional Oeste",1870979.81
Carbonifera,"Regional Sul",1782391.94
"Extremo Oeste","Regional Oeste",1425003.43
Meio-Oeste,"Regional Oeste",1002414.54
"Foz do Itajai","Regional Leste",817764.79
"Planalto Serrano","Regional Oeste",676218.20
"Planalto Norte","Regional Norte",512421.22
