nome_loja,total_itens,populacao_cidade,itens_por_mil_hab,media_dias_entrega
"Pata Amiga Rio dos Cedros",474,11322,41.87,14.31
"Pata Amiga Presidente Getulio",570,16359,34.84,14.26
"Pata Amiga Ibirama",597,18613,32.07,15.50
"Pata Amiga Itapoa",534,20586,25.94,15.53
"Pata Amiga Santo Amaro da Imperatriz",530,22357,23.71,16.00
"Pata Amiga Taio",352,18173,19.37,14.63
"Pata Amiga Timbo",804,45011,17.86,7.77
"Pata Amiga Gaspar",1189,71133,16.72,8.10
"Pata Amiga Otacilio Costa",289,18227,15.86,15.72
"Pata Amiga Ituporanga",354,25748,13.75,16.63
"Pata Amiga Rio do Sul",885,73135,12.10,8.47
"Pata Amiga Sao Joaquim",320,27234,11.75,15.22
"Pata Amiga Laguna",541,46122,11.73,8.69
"Pata Amiga Indaial",750,71987,10.42,7.85
"Pata Amiga Ararangua",689,68274,10.09,8.29
"Pata Amiga Tubarao",889,105511,8.43,7.81
"Pata Amiga Jaragua do Sul",1507,184579,8.16,8.16
"Pata Amiga Curitibanos",308,39061,7.89,8.80
"Pata Amiga Sao Bento do Sul",567,87310,6.49,8.27
"Pata Amiga Concordia",470,74641,6.30,7.82
"Pata Amiga Blumenau Centro",2002,361855,5.53,7.87
"Pata Amiga Xanxere",284,52034,5.46,8.24
"Pata Amiga Palhoca",844,168259,5.02,7.85
"Pata Amiga Sao Miguel do Oeste",186,41520,4.48,8.12
"Pata Amiga Brusque",558,143270,3.89,7.75
"Pata Amiga Criciuma",822,217392,3.78,8.17
"Pata Amiga Lages",593,158846,3.73,7.82
"Pata Amiga Sao Jose Kobrasol",929,250181,3.71,8.12
"Pata Amiga Chapeco",824,254235,3.24,7.98
"Pata Amiga Joinville Sul",1888,597658,3.16,7.91
"Pata Amiga Itajai Praia",798,264054,3.02,8.15
"Pata Amiga Florianopolis Norte",1426,537213,2.65,8.11
